Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.0 Latency: 216.76ms, Speedup: x1.00
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.05 Latency: 172.38ms, Speedup: x1.26
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.1 Latency: 164.78ms, Speedup: x1.32
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.15000000000000002 Latency: 159.19ms, Speedup: x1.36
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.2 Latency: 152.72ms, Speedup: x1.42
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.25 Latency: 147.02ms, Speedup: x1.47
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 216.76ms, SLEB 0.30000000000000004 Latency: 140.42ms, Speedup: x1.54
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.0 Latency: 233.02ms, Speedup: x1.00
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.05 Latency: 174.37ms, Speedup: x1.34
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.1 Latency: 169.32ms, Speedup: x1.38
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.15000000000000002 Latency: 160.08ms, Speedup: x1.46
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.2 Latency: 155.18ms, Speedup: x1.50
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.25 Latency: 148.94ms, Speedup: x1.56
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 233.02ms, SLEB 0.30000000000000004 Latency: 141.47ms, Speedup: x1.65
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.0 Latency: 190.95ms, Speedup: x1.00
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.05 Latency: 172.12ms, Speedup: x1.11
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.1 Latency: 166.16ms, Speedup: x1.15
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.15000000000000002 Latency: 159.31ms, Speedup: x1.20
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.2 Latency: 152.16ms, Speedup: x1.25
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.25 Latency: 146.51ms, Speedup: x1.30
Current GPU: Tesla V100-PCIE-32GB, # GPU: 1, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 190.95ms, SLEB 0.30000000000000004 Latency: 139.84ms, Speedup: x1.37
