Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.0 Latency: 141.76ms, Speedup: x1.00
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.045454545454545456 Latency: 136.21ms, Speedup: x1.04
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.09090909090909091 Latency: 131.26ms, Speedup: x1.08
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.13636363636363635 Latency: 126.61ms, Speedup: x1.12
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.18181818181818182 Latency: 120.73ms, Speedup: x1.17
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 141.76ms, SLEB 0.22727272727272727 Latency: 115.91ms, Speedup: x1.22
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.0 Latency: 142.80ms, Speedup: x1.00
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.045454545454545456 Latency: 136.60ms, Speedup: x1.05
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.09090909090909091 Latency: 132.13ms, Speedup: x1.08
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.13636363636363635 Latency: 130.51ms, Speedup: x1.09
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.18181818181818182 Latency: 121.72ms, Speedup: x1.17
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.80ms, SLEB 0.22727272727272727 Latency: 116.77ms, Speedup: x1.22
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.0 Latency: 142.40ms, Speedup: x1.00
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.045454545454545456 Latency: 136.46ms, Speedup: x1.04
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.09090909090909091 Latency: 131.26ms, Speedup: x1.08
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.13636363636363635 Latency: 128.12ms, Speedup: x1.11
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.18181818181818182 Latency: 121.20ms, Speedup: x1.17
Current GPU: NVIDIA A100-PCIE-40GB, # GPU: 2, Model Name: EdgeVLA, Infernce type : Token Generation, Dense Latency: 142.40ms, SLEB 0.22727272727272727 Latency: 115.96ms, Speedup: x1.23
